EventID,HitID,ClusterID,DeltaZ,DeltaPhi,DeltaTime,ADC,ZPosition,Phi,Time
0,19,1,0.0,0.0,0.0,10700,-75.79,1.99,2.62
0,19,1,0.0,0.0,0.0,9700,-75.79,1.99,3.38
1,11,1,0.0,0.0,0.0,14000,-32.83,1.15,2.65
1,11,1,0.0,0.0,0.0,13300,-32.83,1.15,2.98
2,53,1,0.0,0.0,0.0,3800,49.00,5.55,4.62
2,53,1,0.0,0.0,0.0,4100,49.00,5.55,4.13
3,17,1,0.0,0.0,0.0,25800,-80.65,1.78,1.89
3,17,1,0.0,0.0,0.0,23100,-80.65,1.78,2.70
7,10,1,0.0,0.0,0.0,4900,-49.08,1.05,3.75
7,10,1,0.0,0.0,0.0,4700,-49.08,1.05,4.24
8,51,1,185.50,0.00,0.80,400,-105.00,5.34,1.24
8,51,1,0.0,0.0,0.0,12400,80.50,5.34,2.35
8,51,1,0.0,0.0,0.0,14000,80.50,5.34,1.55
9,35,1,0.0,0.0,0.0,10000,14.41,3.67,3.12
9,35,1,0.0,0.0,0.0,10400,14.41,3.67,2.97
10,25,1,0.0,0.0,0.0,27100,-45.09,2.62,2.07
10,25,1,0.0,0.0,0.0,25400,-45.09,2.62,2.52
13,58,1,145.47,0.00,0.00,2500,105.00,6.07,1.63
13,58,1,145.47,0.00,0.03,1000,105.00,6.07,1.66
13,58,1,0.0,0.0,0.0,14200,-40.47,6.07,1.72
13,58,1,0.0,0.0,0.0,13200,-40.47,6.07,2.12
14,14,1,120.29,0.00,1.10,3200,-15.00,1.47,1.27
14,14,1,0.0,0.0,0.0,13600,105.29,1.47,2.45
14,14,1,0.0,0.0,0.0,15900,105.29,1.47,1.40
15,31,1,0.0,0.0,0.0,10100,-14.83,3.25,2.99
15,31,1,0.0,0.0,0.0,9900,-14.83,3.25,3.14
16,47,1,0.0,0.0,0.0,6300,-12.67,4.92,3.56
16,47,1,0.0,0.0,0.0,6200,-12.67,4.92,3.68
17,37,1,116.67,0.00,0.14,6300,75.00,3.87,1.47
17,37,1,0.0,0.0,0.0,11300,-41.67,3.87,1.68
17,37,1,0.0,0.0,0.0,10600,-41.67,3.87,2.10
18,34,1,0.0,0.0,0.0,9800,-70.71,3.56,2.85
18,34,1,0.0,0.0,0.0,9000,-70.71,3.56,3.56
19,8,1,0.0,0.0,0.0,9700,25.11,0.84,3.17
19,8,1,0.0,0.0,0.0,10400,25.11,0.84,2.92
21,39,1,0.0,0.0,0.0,22400,88.55,4.08,2.64
21,39,1,0.0,0.0,0.0,25000,88.55,4.08,1.76
22,54,1,41.27,0.00,0.35,1800,-15.00,5.65,1.56
22,54,1,0.0,0.0,0.0,19700,-56.27,5.65,1.76
22,54,1,0.0,0.0,0.0,18300,-56.27,5.65,2.32
23,47,1,0.0,0.0,0.0,7500,7.03,4.92,3.62
23,47,1,0.0,0.0,0.0,7500,7.03,4.92,3.55
24,3,1,0.0,0.0,0.0,4400,-6.73,0.31,4.62
24,3,1,0.0,0.0,0.0,4300,-6.73,0.31,4.69
25,39,1,71.33,0.00,0.92,2100,135.00,4.08,1.56
25,39,1,0.0,0.0,0.0,16900,63.67,4.08,2.29
25,39,1,0.0,0.0,0.0,18300,63.67,4.08,1.65
26,20,1,0.0,0.0,0.0,12600,-107.57,2.09,2.32
26,20,1,0.0,0.0,0.0,11100,-107.57,2.09,3.40
27,32,1,0.0,0.0,0.0,15400,111.41,3.35,2.95
27,32,1,0.0,0.0,0.0,18000,111.41,3.35,1.83
28,56,1,0.0,0.0,0.0,17500,-94.43,5.86,2.08
28,56,1,0.0,0.0,0.0,16600,-94.43,5.86,3.02
29,42,1,0.0,0.0,0.0,6000,134.09,4.40,2.80
29,42,1,0.0,0.0,0.0,7000,134.09,4.40,1.46
30,49,1,0.0,0.0,0.0,5600,127.23,5.13,2.83
30,49,1,0.0,0.0,0.0,6600,127.23,5.13,1.56
31,32,1,0.0,0.0,0.0,3000,2.09,3.35,4.74
31,32,1,0.0,0.0,0.0,3100,2.09,3.35,4.72
32,2,1,0.0,0.0,0.0,19000,71.57,0.21,2.67
32,2,1,0.0,0.0,0.0,20800,71.57,0.21,1.96
34,57,1,59.00,0.00,0.28,5800,75.00,5.97,1.31
34,57,1,0.0,0.0,0.0,10500,16.00,5.97,1.96
34,57,1,0.0,0.0,0.0,10600,16.00,5.97,1.80
35,7,1,52.43,0.00,0.38,1000,75.00,0.73,1.32
35,7,1,0.0,0.0,0.0,11100,22.57,0.73,1.99
